,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1378147,1,-0.193262087,0,201706,1,668,1
1378162,1,0.238466933,0,201705,1,668,1
1378184,3,-0.206539043,0,201706,1,668,1
1378236,1,2.282174096,0,201706,1,668,1
1378251,5,-0.217154151,0,201705,1,668,1
1378252,2,-0.185752452,0,201706,1,668,1
1378270,2,-0.286256544,0,201706,1,668,1
1378288,5,-0.25792747,0,201704,1,668,1
1378315,2,0.275629843,0,201705,1,668,1
1378332,2,-0.302733276,0,201704,1,668,1
1378363,4,-0.244425446,0,201705,1,668,1
1378409,1,-0.912506416,0,201704,1,668,1
1378542,2,-0.317394031,0,201705,1,668,1
1378567,3,-0.27406612,0,201705,1,668,1
1378582,1,-0.185752452,0,201706,1,668,1
1378624,1,2.995732274,0,201704,1,668,1
1378657,4,-0.247099077,0,201705,1,668,1
1378725,3,2.995732274,0,201706,1,668,1
1378736,2,-0.955443599,0,201704,1,668,1
1378774,1,-0.193262087,0,201705,1,668,1
1378776,2,-1.318339285,0,201706,1,668,1
1378827,1,-0.185752452,0,201705,1,668,1
1378873,1,-1.339692071,0,201706,1,668,1
1378911,2,-0.170329386,0,201704,1,668,1
1379023,2,-1.267427437,0,201706,1,668,1
1379124,2,1.525110229,0,201704,1,668,1
1379125,2,-0.244787696,0,201704,1,668,1
1379131,3,-0.879316572,0,201706,1,668,1
1379135,4,-0.247099077,0,201706,1,668,1
1379310,2,-0.365308553,0,201704,1,668,1
1379345,2,-0.334370943,0,201705,1,668,1
1379360,2,-0.334370943,0,201704,1,668,1
1379441,1,-1.288409928,0,201705,1,668,1
1379517,2,-0.361300129,0,201706,1,668,1
1379550,1,-0.274769892,0,201704,1,668,1
1379660,1,0.306521479,0,201705,1,668,1
1379671,2,-0.229428332,0.1,201706,1,668,1
1379678,2,-0.381381152,0,201704,1,668,1
1379686,3,2.11070172,0,201704,1,668,1
1379742,2,2.995732274,0,201705,1,668,1
1379767,4,-0.333501679,0,201704,1,668,1
1379799,1,-0.244232933,0,201705,1,668,1
1379815,3,1.935600505,0.0499,201706,1,668,1
1379835,5,2.995732274,0,201706,1,668,1
1379864,5,2.995732274,0,201706,1,668,1
1379884,3,1.97729131,0,201704,1,668,1
1379908,2,-0.313310699,0,201706,1,668,1
1379993,5,-0.2801897,0,201704,1,668,1
1380020,2,1.460359457,0,201705,1,668,1
1380024,1,-0.934898489,0,201704,1,668,1
1380070,1,-0.905029732,0,201706,1,668,1
1380168,2,0.310684049,0,201706,1,668,1
1380213,1,1.97817941,0,201706,1,668,1
1380274,2,-1.269100741,0,201704,1,668,1
